
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      7,780 K
Secure System                  236 Services                   0     93,928 K
Registry                       280 Services                   0     68,380 K
smss.exe                       856 Services                   0        676 K
csrss.exe                     1332 Services                   0      4,888 K
wininit.exe                   1452 Services                   0      5,180 K
services.exe                  1548 Services                   0     13,192 K
LsaIso.exe                    1588 Services                   0      2,432 K
lsass.exe                     1600 Services                   0     31,216 K
svchost.exe                   1736 Services                   0     37,916 K
fontdrvhost.exe               1784 Services                   0      2,596 K
WUDFHost.exe                  1792 Services                   0      3,520 K
svchost.exe                   1912 Services                   0     20,544 K
svchost.exe                   1968 Services                   0     10,648 K
WUDFHost.exe                  1976 Services                   0      3,504 K
svchost.exe                   1964 Services                   0      3,072 K
svchost.exe                   2064 Services                   0     10,940 K
svchost.exe                   2080 Services                   0      5,696 K
svchost.exe                   2088 Services                   0     10,392 K
svchost.exe                   2108 Services                   0     13,972 K
svchost.exe                   2280 Services                   0      8,584 K
svchost.exe                   2348 Services                   0      8,960 K
svchost.exe                   2352 Services                   0     10,716 K
svchost.exe                   2356 Services                   0      9,748 K
svchost.exe                   2432 Services                   0      7,188 K
svchost.exe                   2572 Services                   0     15,356 K
svchost.exe                   2580 Services                   0      7,672 K
svchost.exe                   2612 Services                   0      3,792 K
svchost.exe                   2680 Services                   0     20,228 K
svchost.exe                   2804 Services                   0      7,056 K
svchost.exe                   2936 Services                   0      4,456 K
svchost.exe                   3048 Services                   0     10,960 K
svchost.exe                   3280 Services                   0      6,784 K
svchost.exe                   3364 Services                   0      7,736 K
svchost.exe                   3372 Services                   0      6,948 K
NVDisplay.Container.exe       3476 Services                   0     34,332 K
WUDFHost.exe                  3484 Services                   0      5,644 K
svchost.exe                   3536 Services                   0     14,808 K
svchost.exe                   3576 Services                   0     26,452 K
svchost.exe                   3632 Services                   0      6,148 K
svchost.exe                   3640 Services                   0     14,632 K
svchost.exe                   3648 Services                   0      3,732 K
Memory Compression            3780 Services                   0   1,65,664 K
svchost.exe                   3844 Services                   0      9,772 K
svchost.exe                   3952 Services                   0      5,792 K
svchost.exe                   3960 Services                   0     11,912 K
svchost.exe                   3968 Services                   0     27,076 K
svchost.exe                   4108 Services                   0     14,148 K
svchost.exe                   4156 Services                   0      6,176 K
svchost.exe                   4264 Services                   0      9,116 K
svchost.exe                   4284 Services                   0     36,216 K
svchost.exe                   4384 Services                   0     18,840 K
svchost.exe                   4416 Services                   0     12,136 K
svchost.exe                   4552 Services                   0      6,308 K
spoolsv.exe                   4660 Services                   0     43,976 K
svchost.exe                   4724 Services                   0     21,544 K
svchost.exe                   4824 Services                   0      5,332 K
svchost.exe                   4840 Services                   0     26,088 K
AmdPpkgSvc.exe                5088 Services                   0      3,256 K
LsaIssRpcServer.exe           5096 Services                   0     20,380 K
AISControlService.exe         5104 Services                   0      9,340 K
LenovoUtilityService.exe      5112 Services                   0     15,544 K
svchost.exe                   3884 Services                   0     11,036 K
svchost.exe                   4152 Services                   0     57,436 K
svchost.exe                   3012 Services                   0     36,524 K
Lenovo.Modern.ImControlle     3464 Services                   0     35,636 K
LenovoVantageService.exe      3456 Services                   0     48,992 K
LenovoSmartFusionService.     3920 Services                   0      3,908 K
VirtualCamera_Installer.e     3948 Services                   0      7,248 K
mc-fw-host.exe                4620 Services                   0   1,78,112 K
VCameraDataCenter.exe         4612 Services                   0      5,684 K
NahimicService.exe            4708 Services                   0     34,488 K
MpDefenderCoreService.exe     4820 Services                   0     25,008 K
LRAvatarService.exe           5164 Services                   0     11,616 K
servicehost.exe               5188 Services                   0     46,528 K
SafeExamBrowser.Service.e     5252 Services                   0     12,696 K
RtkAudUService64.exe          5268 Services                   0      8,868 K
SmartAppearanceSVC.exe        5280 Services                   0      9,576 K
svchost.exe                   5316 Services                   0      3,920 K
nvcontainer.exe               5336 Services                   0     31,604 K
UDClientService.exe           5344 Services                   0     46,208 K
vmware-authd.exe              5432 Services                   0      5,436 K
vmnetdhcp.exe                 5460 Services                   0      2,980 K
